id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401114250,2019,2,regular,2019-09-07T19:30:00.000Z,,Louisiana Tech,Conference USA,Grambling,,tv,NFL
401112438,2019,2,regular,2019-09-07T19:30:00.000Z,,Boston College,ACC,Richmond,,web,ACCNX
401112146,2019,2,regular,2019-09-07T19:30:00.000Z,,Connecticut,American Athletic,Illinois,Big Ten,tv,CBSSN
401112158,2019,2,regular,2019-09-07T19:30:00.000Z,,Indiana,Big Ten,Eastern Illinois,,tv,BTN
401110780,2019,2,regular,2019-09-07T19:30:00.000Z,,Mississippi State,SEC,Southern Mississippi,Conference USA,tv,ESPNU
401114214,2019,2,regular,2019-09-07T20:15:00.000Z,,UCLA,Pac-12,San Diego State,Mountain West,tv,PAC12
401112440,2019,2,regular,2019-09-07T21:00:00.000Z,,Florida State,ACC,Louisiana Monroe,Sun Belt,tv,ACCN
401112439,2019,2,regular,2019-09-07T22:00:00.000Z,,Duke,ACC,North Carolina A&T,,web,ACCNX
401117860,2019,2,regular,2019-09-07T22:00:00.000Z,,East Carolina,American Athletic,Gardner-Webb,,web,ESPN3
401121936,2019,2,regular,2019-09-07T22:00:00.000Z,,Georgia Southern,Sun Belt,Maine,,web,ESPN+
401121937,2019,2,regular,2019-09-07T23:00:00.000Z,,Georgia State,Sun Belt,Furman,,web,ESPN3
401121938,2019,2,regular,2019-09-07T23:00:00.000Z,,South Alabama,Sun Belt,Jackson State,,web,ESPN3
401117500,2019,2,regular,2019-09-07T23:00:00.000Z,,Texas State,Sun Belt,Wyoming,Mountain West,web,ESPN+
401114248,2019,2,regular,2019-09-07T23:00:00.000Z,,Florida International,Conference USA,Western Kentucky,Conference USA,web,ESPN+
401114252,2019,2,regular,2019-09-07T23:00:00.000Z,,Middle Tennessee,Conference USA,Tennessee State,,web,ESPN3
401114253,2019,2,regular,2019-09-07T23:00:00.000Z,,SMU,American Athletic,North Texas,Conference USA,web,ESPN3
401112442,2019,2,regular,2019-09-07T23:00:00.000Z,,Louisville,ACC,Eastern Kentucky,,web,ACCNX
401110783,2019,2,regular,2019-09-07T23:00:00.000Z,,Tennessee,SEC,BYU,FBS Independents,tv,ESPN
401112097,2019,2,regular,2019-09-07T23:00:00.000Z,,Kansas,Big 12,Coastal Carolina,Sun Belt,web,ESPN+
401112123,2019,2,regular,2019-09-07T23:00:00.000Z,,Oklahoma State,Big 12,McNeese,,web,ESPN+
401110777,2019,2,regular,2019-09-07T23:30:00.000Z,,Kentucky,SEC,Eastern Michigan,Mid-American,tv,SECN
401110779,2019,2,regular,2019-09-07T23:30:00.000Z,,Ole Miss,SEC,Arkansas,SEC,tv,SECN
401114347,2019,2,regular,2019-09-07T23:30:00.000Z,,Louisiana,Sun Belt,Liberty,FBS Independents,web,ESPN+
401117861,2019,2,regular,2019-09-08T00:00:00.000Z,,Houston,American Athletic,Prairie View,,web,ESPN3
401112443,2019,2,regular,2019-09-08T00:00:00.000Z,,North Carolina,ACC,Miami,ACC,tv,ACCN
401117501,2019,2,regular,2019-09-08T01:00:00.000Z,,San José State,Mountain West,Tulsa,American Athletic,web,ESPN3
401112230,2019,2,regular,2019-09-08T02:30:00.000Z,,Fresno State,Mountain West,Minnesota,Big Ten,tv,CBSSN
401114165,2019,2,regular,2019-09-08T02:45:00.000Z,,Arizona,Pac-12,Northern Arizona,,tv,PAC12
401114230,2019,3,regular,2019-09-14T01:15:00.000Z,,Houston,American Athletic,Washington State,Pac-12,tv,ESPN
