season,team,conference,statName,statValue
2019,Northwestern,Big Ten,totalYards,3574
2019,Indiana,Big Ten,fourthDownConversions,8
2019,New Mexico,Mountain West,penaltyYards,729
2019,San José State,Mountain West,netPassingYards,4056
2019,Appalachian State,Sun Belt,tacklesForLoss,94
2019,Florida State,ACC,kickReturnTDs,0
2019,South Florida,American Athletic,penaltyYards,854
2019,North Carolina,ACC,interceptionTDs,1
2019,UCLA,Pac-12,fumblesLost,10
2019,Arkansas,SEC,interceptions,15
2019,Louisiana,Sun Belt,sacks,44
2019,Akron,Mid-American,rushingAttempts,327
2019,Fresno State,Mountain West,kickReturns,34
2019,Colorado State,Mountain West,firstDowns,257
2019,Georgia Southern,Sun Belt,passCompletions,80
2019,Western Michigan,Mid-American,turnovers,14
2019,Marshall,Conference USA,rushingAttempts,532
2019,TCU,Big 12,interceptions,10
2019,Georgia Southern,Sun Belt,rushingTDs,29
2019,Maryland,Big Ten,kickReturnYards,1023
2019,Utah,Pac-12,fourthDowns,26
2019,San José State,Mountain West,thirdDowns,159
2019,Rice,Conference USA,interceptionTDs,0
2019,Wisconsin,Big Ten,rushingYards,3262
2019,Ball State,Mid-American,tacklesForLoss,91
2019,Oregon State,Pac-12,puntReturnTDs,0
2019,North Texas,Conference USA,passingTDs,33
2019,Ohio State,Big Ten,puntReturnYards,212
2019,Northern Illinois,Mid-American,fumblesLost,7
2019,Georgia,SEC,interceptionYards,102
2019,Auburn,SEC,firstDowns,277
2019,Rice,Conference USA,interceptionYards,7
2019,Louisiana Monroe,Sun Belt,interceptionTDs,1
2019,Missouri,SEC,passAttempts,376
2019,Ohio State,Big Ten,puntReturns,29
2019,Texas A&M,SEC,kickReturns,26
2019,Vanderbilt,SEC,interceptions,10
2019,Kentucky,SEC,passingTDs,9
2019,Arizona State,Pac-12,fumblesLost,10
2019,Miami,ACC,fumblesLost,7
2019,Wyoming,Mountain West,puntReturnTDs,0
2019,Colorado State,Mountain West,rushingAttempts,395
2019,Liberty,FBS Independents,kickReturns,44
2019,BYU,FBS Independents,passAttempts,468
2019,Fresno State,Mountain West,kickReturnTDs,0
2019,Louisville,ACC,interceptionYards,38
